iter,loss,updates,lr,mae,over,greedy,profile
200,0.01249,1,0.0009801976930432226,9.570006370544434,0.0,0.0,{}
400,0.01849,2,0.0009607875174472556,8.624801635742188,0.0,0.0,{}
600,0.01818,3,0.0009417617081065252,7.663176536560059,0.0,0.0,{}
800,0.01897,4,0.0009231126536824612,6.708327293395996,0.0001,0.0006,{}
1000,0.01948,5,0.0009048328935585558,5.735194683074951,0.00015,0.0036,{}
1200,0.02484,6,0.0008869151148557204,4.774755477905273,0.0008,0.016,{}
1400,0.03647,7,0.0008693521495067418,3.8617820739746094,0.00245,0.0468,{}
1600,0.05353,7,0.0008521369713886755,3.0225489139556885,0.01145,0.074,{}
1800,0.02245,8,0.0008352626935120183,3.0286953449249268,0.0108,0.0956,{}
2000,0.10562,8,0.0008187225652655486,2.3318264484405518,0.03285,0.1224,{}
2200,0.06701,8,0.0008025099697157201,2.2938544750213623,0.0328,0.136,{}
2400,0.05364,8,0.0007866184209595355,2.3543150424957275,0.0312,0.1388,{}
2600,0.04465,9,0.0007710415615298394,2.300992012023926,0.0337,0.1448,{}
2800,0.13071,9,0.0007557731598519935,1.8512015342712402,0.07235,0.175,{}
3000,0.10634,9,0.000740807107750911,1.8380929231643677,0.07295,0.1808,{}
3200,0.09385,9,0.0007261374180074655,1.7981618642807007,0.0785,0.1922,{}
3400,0.086,9,0.0007117582219632804,1.8159773349761963,0.07485,0.19,{}
3600,0.0791,9,0.0006976637671729533,1.7761636972427368,0.0824,0.1948,{}
3800,0.0749,9,0.0006838484151027731,1.741430640220642,0.0867,0.201,{}
4000,0.07103,9,0.0006703066388750028,1.7981635332107544,0.076,0.2094,{}
4200,0.06812,9,0.0006570330210568341,1.7810741662979126,0.0822,0.206,{}
4400,0.06532,9,0.0006440222514931284,1.7783105373382568,0.07895,0.2082,{}
4600,0.06273,9,0.000631269125182066,1.7433586120605469,0.08405,0.2088,{}
4800,0.06046,9,0.0006187685401928743,1.7282081842422485,0.0875,0.2094,{}
5000,0.05826,9,0.0006065154956247788,1.7494159936904907,0.08415,0.2132,{}
5200,0.05762,9,0.0005945050896063757,1.765792965888977,0.08225,0.2186,{}
5400,0.05591,9,0.0005827325173346239,1.7240852117538452,0.088,0.2184,{}
5600,0.05494,9,0.0005711930691526672,1.7081292867660522,0.09005,0.2122,{}
5800,0.05329,9,0.0005598821286657221,1.7004138231277466,0.09005,0.2148,{}
6000,0.05204,9,0.00054879517089427,1.760069489479065,0.0819,0.2218,{}
6200,0.05122,9,0.0005379277604638257,1.755811095237732,0.0846,0.219,{}
6400,0.0499,10,0.0005272755498305498,1.7495306730270386,0.08485,0.2154,{}
6600,0.13658,10,0.0005168342775420024,1.3911925554275513,0.13765,0.2366,{}
6800,0.12587,10,0.0005065997665323319,1.4856364727020264,0.11215,0.2428,{}
7000,0.11985,10,0.0004965679224512268,1.405092716217041,0.12875,0.2574,{}
7200,0.11518,10,0.00048673473202595874,1.4456955194473267,0.1177,0.2442,{}
7400,0.11124,10,0.00047709626145585603,1.421663522720337,0.12295,0.2572,{}
7600,0.10808,10,0.00046764865483857635,1.4612975120544434,0.1119,0.254,{}
7800,0.10504,10,0.0004583881326275385,1.4395842552185059,0.1161,0.2582,{}
8000,0.10337,10,0.0004493109901199042,1.3707712888717651,0.13665,0.2582,{}
8200,0.10094,10,0.0004404135959744968,1.4015063047409058,0.12545,0.2672,{}
8400,0.09858,10,0.0004316923907590721,1.422637939453125,0.11965,0.2706,{}
8600,0.09694,10,0.0004231438855263554,1.4208163022994995,0.1193,0.2746,{}
8800,0.0953,10,0.0004147646604182792,1.4573179483413696,0.1093,0.2672,{}
9000,0.0935,10,0.00040655136329785274,1.4292023181915283,0.11685,0.2816,{}
9200,0.09195,10,0.00039850070840813216,1.4789111614227295,0.10285,0.2728,{}
9400,0.09073,10,0.00039060947505774096,1.4230834245681763,0.11655,0.2822,{}
9600,0.09011,10,0.0003828745063324223,1.4421818256378174,0.11285,0.2834,{}
9800,0.08787,10,0.0003752927078321034,1.4195057153701782,0.117,0.2864,{}
10000,0.08725,10,0.000367861046432972,1.3504986763000488,0.13975,0.2792,{}
10200,0.08671,10,0.00036057654907406506,1.4677412509918213,0.105,0.283,{}
10400,0.08541,10,0.000353436301567885,1.3794585466384888,0.12895,0.2816,{}
10600,0.08436,10,0.0003464374474345699,1.4467697143554688,0.1088,0.275,{}
10800,0.08332,10,0.0003395771867591483,1.4179925918579102,0.1164,0.2894,{}
11000,0.08229,10,0.0003328527750714248,1.4008772373199463,0.12285,0.2854,{}
11200,0.08174,10,0.0003262615222480456,1.4242151975631714,0.1136,0.2766,{}
11400,0.08046,10,0.0003198007914363042,1.4026211500167847,0.1196,0.285,{}
11600,0.07976,10,0.0003134679979992623,1.4274932146072388,0.11355,0.2836,{}
11800,0.07932,10,0.00030726060848175474,1.4128559827804565,0.1178,0.2822,{}
12000,0.07846,10,0.0003011761395968728,1.4280283451080322,0.1126,0.2804,{}
