iter,loss,updates,lr,mae,over,greedy,profile
500,0.02923,1,0.0009512270462715806,,,,"{""1"": 0.936, ""5"": 0.921, ""10"": 0.918, ""15"": 0.916, ""20"": 0.916, ""25"": 0.915, ""30"": 0.917}"
1000,0.01211,2,0.0009048328935585558,,,,"{""1"": 1.026, ""5"": 1.859, ""10"": 1.87, ""15"": 1.873, ""20"": 1.873, ""25"": 1.873, ""30"": 1.874}"
1500,0.01086,3,0.0008607015207090724,,,,"{""1"": 0.975, ""5"": 2.819, ""10"": 2.841, ""15"": 2.844, ""20"": 2.845, ""25"": 2.845, ""30"": 2.846}"
2000,0.00799,4,0.0008187225652655486,,,,"{""1"": 1.042, ""5"": 3.734, ""10"": 3.822, ""15"": 3.827, ""20"": 3.828, ""25"": 3.828, ""30"": 3.829}"
2500,0.00901,5,0.0007787910474734395,,,,"{""1"": 0.962, ""5"": 4.592, ""10"": 4.819, ""15"": 4.832, ""20"": 4.834, ""25"": 4.834, ""30"": 4.834}"
3000,0.01198,6,0.000740807107750911,,,,"{""1"": 1.03, ""5"": 4.942, ""10"": 5.787, ""15"": 5.817, ""20"": 5.82, ""25"": 5.821, ""30"": 5.821}"
3500,0.01718,7,0.0007046757569628925,,,,"{""1"": 1.044, ""5"": 4.964, ""10"": 6.758, ""15"": 6.843, ""20"": 6.847, ""25"": 6.848, ""30"": 6.848}"
4000,0.02608,8,0.0006703066388750028,,,,"{""1"": 0.901, ""5"": 4.95, ""10"": 7.569, ""15"": 7.787, ""20"": 7.802, ""25"": 7.805, ""30"": 7.807}"
4500,0.04016,9,0.0006376138041933,,,,"{""1"": 0.816, ""5"": 4.805, ""10"": 8.202, ""15"": 8.661, ""20"": 8.708, ""25"": 8.718, ""30"": 8.723}"
5000,0.05594,10,0.0006065154956247788,,,,"{""1"": 1.04, ""5"": 4.809, ""10"": 8.751, ""15"": 9.538, ""20"": 9.652, ""25"": 9.678, ""30"": 9.692}"
5500,0.07586,11,0.0005769339434211017,,,,"{""1"": 1.092, ""5"": 4.753, ""10"": 9.068, ""15"": 10.254, ""20"": 10.473, ""25"": 10.534, ""30"": 10.562}"
6000,0.10091,12,0.00054879517089427,,,,"{""1"": 0.993, ""5"": 4.635, ""10"": 9.2, ""15"": 10.773, ""20"": 11.126, ""25"": 11.243, ""30"": 11.301}"
6500,0.13012,13,0.0005220288094178658,,,,"{""1"": 0.92, ""5"": 4.747, ""10"": 9.279, ""15"": 11.143, ""20"": 11.63, ""25"": 11.805, ""30"": 11.902}"
7000,0.15063,14,0.0004965679224512268,,,,"{""1"": 0.999, ""5"": 5.002, ""10"": 9.345, ""15"": 11.406, ""20"": 12.001, ""25"": 12.23, ""30"": 12.357}"
7500,0.16278,15,0.00047234883814649604,,,,"{""1"": 0.723, ""5"": 4.92, ""10"": 9.298, ""15"": 11.453, ""20"": 12.119, ""25"": 12.391, ""30"": 12.543}"
8000,0.16794,16,0.0004493109901199042,,,,"{""1"": 0.968, ""5"": 4.704, ""10"": 9.321, ""15"": 11.522, ""20"": 12.238, ""25"": 12.54, ""30"": 12.711}"
8500,0.17194,17,0.0004273967659891164,,,,"{""1"": 1.107, ""5"": 4.683, ""10"": 9.357, ""15"": 11.6, ""20"": 12.356, ""25"": 12.677, ""30"": 12.861}"
9000,0.17547,18,0.00040655136329785274,,,,"{""1"": 1.005, ""5"": 4.672, ""10"": 9.379, ""15"": 11.636, ""20"": 12.406, ""25"": 12.733, ""30"": 12.925}"
9500,0.1785,19,0.00038672265246750037,,,,"{""1"": 1.04, ""5"": 4.612, ""10"": 9.359, ""15"": 11.648, ""20"": 12.42, ""25"": 12.758, ""30"": 12.944}"
10000,0.18273,20,0.000367861046432972,,,,"{""1"": 0.916, ""5"": 4.85, ""10"": 9.441, ""15"": 11.784, ""20"": 12.559, ""25"": 12.895, ""30"": 13.079}"
10500,0.18337,21,0.000349919376636809,,,,"{""1"": 0.968, ""5"": 4.978, ""10"": 9.475, ""15"": 11.887, ""20"": 12.679, ""25"": 13.025, ""30"": 13.209}"
11000,0.18764,22,0.0003328527750714248,,,,"{""1"": 1.156, ""5"": 4.876, ""10"": 9.436, ""15"": 11.894, ""20"": 12.721, ""25"": 13.071, ""30"": 13.26}"
